地區,縣市,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
連江縣第01選區,連江縣,陳雪生,1,男,1952,中國國民黨,2927,68.06%,*,是
連江縣第01選區,連江縣,林金官,2,男,1945,無黨籍,760,17.67%,,否
連江縣第01選區,連江縣,蘇柏豪,3,男,1986,樹黨,506,11.76%,,否
連江縣第01選區,連江縣,張春寶,4,男,1956,中華統促黨,107,2.48%,,否
金門縣第01選區,金門縣,洪志恒,1,男,1968,無黨籍,647,1.78%,,否
金門縣第01選區,金門縣,陳滄江,2,男,1955,民主進步黨,8367,23.07%,,否
金門縣第01選區,金門縣,高丹樺,3,女,1961,軍公教聯盟黨,666,1.83%,,否
金門縣第01選區,金門縣,張中法,4,男,1961,無黨籍,670,1.84%,,否
金門縣第01選區,金門縣,楊鎮浯,5,男,1972,中國國民黨,16350,45.08%,*,否
金門縣第01選區,金門縣,陳仲立,6,男,1958,無黨籍,49,0.13%,,否
金門縣第01選區,金門縣,陳德輝,7,男,1980,台灣工黨,113,0.31%,,否
金門縣第01選區,金門縣,吳成典,8,男,1957,新黨,9405,25.93%,,否
宜蘭縣第01選區,宜蘭縣,陳歐珀,1,男,1962,民主進步黨,120393,53.67%,*,是
宜蘭縣第01選區,宜蘭縣,孫博萮,2,女,1978,無黨籍,7189,3.20%,,否
宜蘭縣第01選區,宜蘭縣,郭儒釗,3,男,1956,軍公教聯盟黨,1062,0.47%,,否
宜蘭縣第01選區,宜蘭縣,李志鏞,4,男,1966,中國國民黨,63367,28.25%,,否
宜蘭縣第01選區,宜蘭縣,林獻山,5,男,1958,泛盟黨,634,0.28%,,否
宜蘭縣第01選區,宜蘭縣,吳子維,6,男,1975,大愛憲改聯盟,945,0.42%,,否
宜蘭縣第01選區,宜蘭縣,吳紹文,7,女,1976,綠社盟,10730,4.78%,,否
宜蘭縣第01選區,宜蘭縣,邱錫奎,8,男,1961,無黨籍,19961,8.89%,,否
新竹縣第01選區,新竹縣,林為洲,1,男,1961,中國國民黨,93495,36.74%,*,否
新竹縣第01選區,新竹縣,黃秀龍,2,男,1960,無黨籍,2776,1.09%,,否
新竹縣第01選區,新竹縣,鄭永金,3,男,1949,無黨籍,85170,33.47%,,否
新竹縣第01選區,新竹縣,范振揆,4,男,1971,中華統促黨,909,0.35%,,否
新竹縣第01選區,新竹縣,蘇雯英,5,女,1962,健保免費連線,1603,0.63%,,否
新竹縣第01選區,新竹縣,李宗華,6,男,1979,軍公教聯盟黨,1520,0.59%,,否
新竹縣第01選區,新竹縣,卓恩宗,7,男,1974,信心希望聯盟,5442,2.13%,,否
新竹縣第01選區,新竹縣,邱靖雅,8,女,1972,民國黨,63512,24.96%,,否
苗栗縣第01選區,苗栗縣,杜文卿,1,男,1954,民主進步黨,47837,35.86%,,否
苗栗縣第01選區,苗栗縣,康世儒,2,男,1964,民國黨,23134,17.34%,,否
苗栗縣第01選區,苗栗縣,黃玉燕,3,女,1961,無黨籍,3074,2.30%,,否
